mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass;isCoref;
[(LIMA Bulutangkis)-(rotasi)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(pemain)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(kelemahan dan kelebihan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
"[(LIMA Bulutangkis)-(mereka,)]""";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(Republika)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;FALSE;
[(LIMA Bulutangkis)-(Ahad)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;FALSE;
[(LIMA Bulutangkis)-(Pertandingan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;FALSE;
[(LIMA Bulutangkis)-(partai pertama)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(putri)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(Awulan asal ITB)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;FALSE;
[(LIMA Bulutangkis)-(gempuran smash Amelia)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(STKIPAS)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;ORGANIZATION;FALSE;
[(LIMA Bulutangkis)-(Amelia)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;FALSE;
[(LIMA Bulutangkis)-(notabene permain profesional)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(15 menit)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(Awulan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;FALSE;
[(LIMA Bulutangkis)-(Skor jauh)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;FALSE;
[(LIMA Bulutangkis)-(perjuangan Awulan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(partai pertama)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(putri,)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(kesalahan servis)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(Pukulan overhead)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;FALSE;
[(LIMA Bulutangkis)-(pihak)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(Pratiwi)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;FALSE;
[(LIMA Bulutangkis)-(STKIPAS)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;ORGANIZATION;FALSE;
[(LIMA Bulutangkis)-(dropshot)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(duo ITB kewalahan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(Skor 9-21)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;FALSE;
[(LIMA Bulutangkis)-(jalannya pertandingan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(kalah)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(triples ITB)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(ngotot)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(Partai)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;FALSE;
[(LIMA Bulutangkis)-(triples putri ITB)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(angka)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(pukulan-pukulang keras)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(lawan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(Komunikasi ketiganya)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;FALSE;
[(LIMA Bulutangkis)-(apik)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(pertahanan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(Tim triples STKIPAS)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;FALSE;
[(LIMA Bulutangkis)-(kesalahan sendiri)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(servis)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(net)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(Skor sementara)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;FALSE;
[(LIMA Bulutangkis)-(pemacu partai kedua)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(putri ITB)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(Khairina)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;FALSE;
[(LIMA Bulutangkis)-(perjuangan Khairina)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(Oktaviani)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;FALSE;
[(LIMA Bulutangkis)-(STKIPAS)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;ORGANIZATION;FALSE;
[(LIMA Bulutangkis)-(Khairina)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;FALSE;
[(LIMA Bulutangkis)-(kelelahan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(babak pertama)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(Skor babak pertama)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;FALSE;
[(LIMA Bulutangkis)-(babak kedua,)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(faktor fisik)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(ketinggalan angka)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(Khairina)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;FALSE;
[(LIMA Bulutangkis)-(skor 5-21)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(Adapun)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;FALSE;
[(LIMA Bulutangkis)-(partai kedua)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(putri)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(ITB)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;ORGANIZATION;FALSE;
[(LIMA Bulutangkis)-(skor 11-21)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(serangan tajam)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(Pertandingan ini)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;PERSON;FALSE;
[(LIMA Bulutangkis)-(kemenangan STKIPAS)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(LIMA Bulutangkis)-(skor 4-1)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;OTHER;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(Tim)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;ORGANIZATION;PERSON;FALSE;
[(STKIPAS Gulung ITB 4-1)-(putri STKIP Pasundan)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(STKIPAS)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;ORGANIZATION;ORGANIZATION;FALSE;
[(STKIPAS Gulung ITB 4-1)-(mereka)];FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(raket)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(Liga Mahasiswa)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;ORGANIZATION;LOCATION;FALSE;
[(STKIPAS Gulung ITB 4-1)-((LIMA)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(Tim)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;PERSON;FALSE;
[(STKIPAS Gulung ITB 4-1)-(putri ITB)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(lutut)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(hasil akhir)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(pertandingan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(sebelumnya,)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(tim putri STKIPAS)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(Universitas Budi Luhur)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;ORGANIZATION;FALSE;
[(STKIPAS Gulung ITB 4-1)-(UBL)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;ORGANIZATION;FALSE;
[(STKIPAS Gulung ITB 4-1)-(skor 3-2)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(Kemenangan tim putri STKIPAS ini,)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;PERSON;FALSE;
[(STKIPAS Gulung ITB 4-1)-(pertandingan pekan depan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(tim unggulan Universitas Pendidikan Indonesia)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(UPI)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;ORGANIZATION;FALSE;
[(STKIPAS Gulung ITB 4-1)-(pelatih STKIPAS)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(Surya Medal,)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;PERSON;FALSE;
[(STKIPAS Gulung ITB 4-1)-(pihaknya)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(strategi)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(semua pemain)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(semua pemainnya)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(nuansa berbeda)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(pertandingan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(saya)];FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(rotasi)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(pemain)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(kelemahan dan kelebihan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
"[(STKIPAS Gulung ITB 4-1)-(mereka,)]""";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(Republika)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;PERSON;FALSE;
[(STKIPAS Gulung ITB 4-1)-(Ahad)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;PERSON;FALSE;
[(STKIPAS Gulung ITB 4-1)-(Pertandingan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;PERSON;FALSE;
[(STKIPAS Gulung ITB 4-1)-(partai pertama)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(putri)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(Awulan asal ITB)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;PERSON;FALSE;
[(STKIPAS Gulung ITB 4-1)-(gempuran smash Amelia)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(STKIPAS)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;ORGANIZATION;ORGANIZATION;FALSE;
[(STKIPAS Gulung ITB 4-1)-(Amelia)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;PERSON;FALSE;
[(STKIPAS Gulung ITB 4-1)-(notabene permain profesional)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(15 menit)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(Awulan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;PERSON;FALSE;
[(STKIPAS Gulung ITB 4-1)-(Skor jauh)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;PERSON;FALSE;
[(STKIPAS Gulung ITB 4-1)-(perjuangan Awulan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(partai pertama)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(putri,)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(kesalahan servis)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(Pukulan overhead)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;PERSON;FALSE;
[(STKIPAS Gulung ITB 4-1)-(pihak)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(Pratiwi)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;PERSON;FALSE;
[(STKIPAS Gulung ITB 4-1)-(STKIPAS)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;ORGANIZATION;ORGANIZATION;FALSE;
[(STKIPAS Gulung ITB 4-1)-(dropshot)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(duo ITB kewalahan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(Skor 9-21)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;PERSON;FALSE;
[(STKIPAS Gulung ITB 4-1)-(jalannya pertandingan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(kalah)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(triples ITB)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(ngotot)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(Partai)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;PERSON;FALSE;
[(STKIPAS Gulung ITB 4-1)-(triples putri ITB)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(angka)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(pukulan-pukulang keras)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(lawan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(Komunikasi ketiganya)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;PERSON;FALSE;
[(STKIPAS Gulung ITB 4-1)-(apik)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(pertahanan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(Tim triples STKIPAS)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;PERSON;FALSE;
[(STKIPAS Gulung ITB 4-1)-(kesalahan sendiri)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
[(STKIPAS Gulung ITB 4-1)-(servis)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;ORGANIZATION;OTHER;FALSE;
